index	5primepreterm	bkgdpreterm	initiationrate	mutant	proteins_mutant	proteins_yfp0	selpreterm	simulation_time	stallstrengthindex	ps_ratio
0	0.0	0	0.3	cta2_cta18	1947	10000	0.0	34960.52	0	0.1947
1	1.0	0	0.3	cta18_cta6	1839	10000	0.0	35320.08	0	0.1839
2	1.0	0	0.3	cta18	2826	10000	0.0	35036.71	0	0.2826
3	0.0	0	0.3	cta2_cta10	1656	10000	0.0	34722.96	0	0.1656
4	0.0	0	0.3	cta10	2016	10000	0.0	34453.55	0	0.2016
5	0.0	0	0.3	cta10_cta18_cta6	1730	10000	0.0	34411.48	0	0.173
6	0.0	0	0.3	cta18	2852	10000	1.0	34952.24	0	0.2852
7	0.0	0	0.3	cta10_cta6	1748	10000	0.0	34827.15	0	0.1748
8	0.0	0	0.3	cta14_cta6	941	10000	1.0	35007.56	0	0.0941
9	0.0	0	0.3	cta6	2763	10000	0.0	35164.33	0	0.2763
10	0.0	0	0.3	cta2_cta6	543	10000	1.0	34856.87	0	0.0543
11	1.0	0	0.3	cta10_cta6	1432	10000	0.0	34652.75	0	0.1432
12	0.0	0	0.3	cta14	3259	10000	0.0	34671.52	0	0.3259
13	0.0	0	0.3	cta2	2062	10000	1.0	34996.55	0	0.2062
14	0.0	0	0.3	cta18_cta6	829	10000	1.0	34728.99	0	0.0829
15	1.0	0	0.3	cta10	2014	10000	0.0	34725.61	0	0.2014
16	1.0	0	0.3	cta2_cta6	1427	10000	0.0	34881.82	0	0.1427
17	1.0	0	0.3	cta10_cta14_cta6	1233	10000	0.0	34672.5	0	0.1233
18	0.0	0	0.3	cta6	2741	10000	1.0	34827.19	0	0.2741
19	1.0	0	0.3	cta2_cta18	1428	10000	0.0	34718.39	0	0.1428
20	0.0	0	0.3	cta2_cta18	588	10000	1.0	34888.02	0	0.0588
21	0.0	0	0.3	cta18	2879	10000	0.0	34672.53	0	0.2879
22	0.0	0	0.3	cta2_cta6	1749	10000	0.0	34960.85	0	0.1749
23	0.0	0	0.3	cta18_cta14	926	10000	1.0	34955.67	0	0.0926
24	0.0	0	0.3	cta18_cta6	2612	10000	0.0	34902.63	0	0.2612
25	1.0	0	0.3	cta2	1997	10000	0.0	34916.08	0	0.1997
26	1.0	0	0.3	cta10_cta18	1478	10000	0.0	35269.39	0	0.1478
27	1.0	0	0.3	cta10_cta18_cta6	1191	10000	0.0	35026.93	0	0.1191
28	1.0	0	0.3	cta14_cta6	1951	10000	0.0	34260.64	0	0.1951
29	1.0	0	0.3	cta14	3364	10000	0.0	34531.84	0	0.3364
30	0.0	0	0.3	cta10_cta6	504	10000	1.0	35019.57	0	0.0504
31	0.0	0	0.3	cta10_cta14	2027	10000	0.0	34457.15	0	0.2027
32	0.0	0	0.3	cta2_cta14	1839	10000	0.0	34382.28	0	0.1839
33	0.0	0	0.3	cta10_cta14_cta6	1760	10000	0.0	34544.9	0	0.176
34	0.0	0	0.3	cta2_cta10	388	10000	1.0	34670.04	0	0.0388
35	1.0	0	0.3	cta18_cta14	2037	10000	0.0	34970.08	0	0.2037
36	0.0	0	0.3	cta10	2073	10000	1.0	35079.53	0	0.2073
37	0.0	0	0.3	cta10_cta18	2067	10000	0.0	34787.87	0	0.2067
38	0.0	0	0.3	cta10_cta18_cta6	172	10000	1.0	34651.92	0	0.0172
39	1.0	0	0.3	cta6	2737	10000	0.0	34914.74	0	0.2737
40	1.0	0	0.3	cta2_cta14	1517	10000	0.0	34395.05	0	0.1517
41	0.0	0	0.3	cta10_cta18_cta14_cta6	1787	10000	0.0	34481.85	0	0.1787
42	0.0	0	0.3	cta10_cta18	600	10000	1.0	34887.93	0	0.06
43	0.0	0	0.3	cta2_cta14	678	10000	1.0	34808.87	0	0.0678
44	0.0	0	0.3	cta18_cta14	2664	10000	0.0	34397.24	0	0.2664
45	1.0	0	0.3	cta10_cta14	1560	10000	0.0	34744.85	0	0.156
46	1.0	0	0.3	cta10_cta18_cta14_cta6	1146	10000	0.0	35347.23	0	0.1146
47	0.0	0	0.3	cta14_cta6	2706	10000	0.0	34816.76	0	0.2706
48	0.0	0	0.3	cta10_cta18_cta14_cta6	58	10000	1.0	34887.69	0	0.0058
49	0.0	0	0.3	cta2	1993	10000	0.0	34790.77	0	0.1993
50	0.0	0	0.3	cta10_cta14_cta6	189	10000	1.0	35104.01	0	0.0189
51	0.0	0	0.3	cta10_cta14	725	10000	1.0	34420.0	0	0.0725
52	0.0	0	0.3	cta14	3353	10000	1.0	35401.41	0	0.3353
53	1.0	0	0.3	cta2_cta10	1194	10000	0.0	35052.63	0	0.1194
