index	5primepreterm	bkgdpreterm	initiationrate	mutant	proteins_mutant	proteins_yfp0	selpreterm	simulation_time	stallstrengthindex	ps_ratio
0	0.0	0	0.3	cta9_cta13	2271	10000	0.0	35294.76	0	0.2271
1	0.0	0	0.3	cta9_cta12	716	10000	1.0	34958.7	0	0.0716
2	0.0	0	0.3	cta9	2344	10000	0.0	34799.81	0	0.2344
3	1.0	0	0.3	cta8_cta11	1927	10000	0.0	35340.74	0	0.1927
4	0.0	0	0.3	cta10	2074	10000	1.0	34680.99	0	0.2074
5	1.0	0	0.3	cta8_cta13	2005	10000	0.0	35193.95	0	0.2005
6	0.0	0	0.3	cta8_cta12	967	10000	1.0	34928.46	0	0.0967
7	0.0	0	0.3	cta8_cta13	2638	10000	0.0	34454.67	0	0.2638
8	0.0	0	0.3	cta9_cta14	771	10000	1.0	35064.66	0	0.0771
9	0.0	0	0.3	cta8_cta14	1010	10000	1.0	34857.04	0	0.101
10	0.0	0	0.3	cta9_cta12	2204	10000	0.0	34600.29	0	0.2204
11	0.0	0	0.3	cta11_cta12	1406	10000	0.0	35059.93	0	0.1406
12	0.0	0	0.3	cta8	3159	10000	0.0	34643.4	0	0.3159
13	1.0	0	0.3	cta10	1965	10000	0.0	34636.15	0	0.1965
14	1.0	0	0.3	cta9_cta10	363	10000	0.0	35072.78	0	0.0363
15	0.0	0	0.3	cta12	2851	10000	1.0	35182.89	0	0.2851
16	0.0	0	0.3	cta9_cta11	639	10000	1.0	34620.27	0	0.0639
17	1.0	0	0.3	cta13_cta14	785	10000	0.0	34874.02	0	0.0785
18	1.0	0	0.3	cta9_cta13	1584	10000	0.0	34223.63	0	0.1584
19	1.0	0	0.3	cta13	2939	10000	0.0	35257.37	0	0.2939
20	0.0	0	0.3	cta9	2353	10000	1.0	35002.63	0	0.2353
21	0.0	0	0.3	cta14	3251	10000	1.0	35037.44	0	0.3251
22	1.0	0	0.3	cta8_cta10	544	10000	0.0	34718.0	0	0.0544
23	0.0	0	0.3	cta8_cta9	756	10000	1.0	34783.07	0	0.0756
24	0.0	0	0.3	cta9_cta10	1115	10000	0.0	34440.28	0	0.1115
25	1.0	0	0.3	cta9	2280	10000	0.0	34479.29	0	0.228
26	0.0	0	0.3	cta8_cta9	1410	10000	0.0	34967.89	0	0.141
27	1.0	0	0.3	cta11	2727	10000	0.0	35060.1	0	0.2727
28	0.0	0	0.3	cta11	2770	10000	0.0	34837.94	0	0.277
29	1.0	0	0.3	cta12	2971	10000	0.0	35582.53	0	0.2971
30	1.0	0	0.3	cta9_cta14	1661	10000	0.0	35368.32	0	0.1661
31	0.0	0	0.3	cta13_cta14	936	10000	1.0	34304.43	0	0.0936
32	0.0	0	0.3	cta8	3257	10000	1.0	35149.49	0	0.3257
33	1.0	0	0.3	cta8	3156	10000	0.0	34842.72	0	0.3156
34	0.0	0	0.3	cta8_cta11	881	10000	1.0	34821.54	0	0.0881
35	0.0	0	0.3	cta11	2580	10000	1.0	34747.78	0	0.258
36	0.0	0	0.3	cta9_cta10	513	10000	1.0	35140.08	0	0.0513
37	0.0	0	0.3	cta9_cta14	2209	10000	0.0	34801.0	0	0.2209
38	0.0	0	0.3	cta8_cta11	2533	10000	0.0	34610.68	0	0.2533
39	0.0	0	0.3	cta8_cta14	2835	10000	0.0	34489.49	0	0.2835
40	0.0	0	0.3	cta13_cta14	1587	10000	0.0	34989.18	0	0.1587
41	0.0	0	0.3	cta8_cta13	953	10000	1.0	34666.69	0	0.0953
42	1.0	0	0.3	cta8_cta14	2101	10000	0.0	34850.86	0	0.2101
43	0.0	0	0.3	cta8_cta12	2576	10000	0.0	34339.38	0	0.2576
44	0.0	0	0.3	cta12	2827	10000	0.0	34738.62	0	0.2827
45	0.0	0	0.3	cta11_cta12	726	10000	1.0	34603.8	0	0.0726
46	0.0	0	0.3	cta9_cta11	2134	10000	0.0	34428.74	0	0.2134
47	1.0	0	0.3	cta8_cta12	1972	10000	0.0	35249.85	0	0.1972
48	1.0	0	0.3	cta8_cta9	656	10000	0.0	34925.37	0	0.0656
49	1.0	0	0.3	cta9_cta11	1557	10000	0.0	34793.53	0	0.1557
50	0.0	0	0.3	cta14	3295	10000	0.0	35067.17	0	0.3295
51	0.0	0	0.3	cta9_cta13	626	10000	1.0	34512.76	0	0.0626
52	0.0	0	0.3	cta10	2093	10000	0.0	34347.79	0	0.2093
53	0.0	0	0.3	cta8_cta10	1304	10000	0.0	34265.88	0	0.1304
54	1.0	0	0.3	cta11_cta12	638	10000	0.0	34577.33	0	0.0638
55	1.0	0	0.3	cta9_cta12	1582	10000	0.0	34991.22	0	0.1582
56	0.0	0	0.3	cta13	2830	10000	0.0	34714.43	0	0.283
57	1.0	0	0.3	cta14	3267	10000	0.0	35154.43	0	0.3267
58	0.0	0	0.3	cta8_cta10	692	10000	1.0	34305.87	0	0.0692
59	0.0	0	0.3	cta13	2820	10000	1.0	35215.8	0	0.282
