index	5primepreterm	bkgdpreterm	initiationrate	mutant	proteins_mutant	proteins_yfp0	selpreterm	simulation_time	stallstrengthindex	ps_ratio
0	0.0	0	0.3	ctc13	7160	10000	0.0	35257.73	0	0.716
1	0.0	0	0.3	ctc8	6810	10000	1.0	34855.07	0	0.681
2	1.0	0	0.3	ctc9_ctc11	4981	10000	0.0	35157.14	0	0.4981
3	0.0	0	0.3	ctc10	6897	10000	1.0	35051.52	0	0.6897
4	0.0	0	0.3	ctc9_ctc14	6309	10000	0.0	34589.33	0	0.6309
5	1.0	0	0.3	ctc14	8200	10000	0.0	35365.13	0	0.82
6	0.0	0	0.3	ctc9	6492	10000	0.0	34807.29	0	0.6492
7	1.0	0	0.3	ctc8	6700	10000	0.0	34180.83	0	0.67
8	0.0	0	0.3	ctc11	6137	10000	0.0	35024.43	0	0.6137
9	1.0	0	0.3	ctc8_ctc13	5679	10000	0.0	34902.45	0	0.5679
10	0.0	0	0.3	ctc11	6204	10000	1.0	34625.99	0	0.6204
11	0.0	0	0.3	ctc9_ctc11	4134	10000	1.0	35058.12	0	0.4134
12	0.0	0	0.3	ctc8_ctc10	3698	10000	0.0	34562.0	0	0.3698
13	0.0	0	0.3	ctc8_ctc13	6283	10000	0.0	35269.89	0	0.6283
14	1.0	0	0.3	ctc8_ctc10	3939	10000	0.0	34718.43	0	0.3939
15	0.0	0	0.3	ctc8_ctc13	4951	10000	1.0	34926.18	0	0.4951
16	0.0	0	0.3	ctc9_ctc13	6076	10000	0.0	34737.87	0	0.6076
17	1.0	0	0.3	ctc10	6847	10000	0.0	35548.77	0	0.6847
18	0.0	0	0.3	ctc13_ctc14	4112	10000	0.0	34701.24	0	0.4112
19	0.0	0	0.3	ctc8_ctc10	4603	10000	1.0	34939.94	0	0.4603
20	0.0	0	0.3	ctc10	6651	10000	0.0	34858.61	0	0.6651
21	1.0	0	0.3	ctc9_ctc12	5060	10000	0.0	35088.41	0	0.506
22	1.0	0	0.3	ctc9_ctc14	5939	10000	0.0	35060.01	0	0.5939
23	1.0	0	0.3	ctc8_ctc14	6037	10000	0.0	34770.38	0	0.6037
24	1.0	0	0.3	ctc9_ctc10	3869	10000	0.0	34828.66	0	0.3869
25	0.0	0	0.3	ctc12	6275	10000	1.0	35088.36	0	0.6275
26	0.0	0	0.3	ctc8_ctc11	4213	10000	1.0	34312.26	0	0.4213
27	1.0	0	0.3	ctc8_ctc9	3737	10000	0.0	34732.22	0	0.3737
28	0.0	0	0.3	ctc8_ctc9	3635	10000	0.0	35244.2	0	0.3635
29	1.0	0	0.3	ctc8_ctc12	5177	10000	0.0	34885.78	0	0.5177
30	0.0	0	0.3	ctc13	7177	10000	1.0	34628.94	0	0.7177
31	1.0	0	0.3	ctc11	6168	10000	0.0	34697.35	0	0.6168
32	0.0	0	0.3	ctc9_ctc10	3581	10000	0.0	34501.22	0	0.3581
33	1.0	0	0.3	ctc13_ctc14	5044	10000	0.0	34902.47	0	0.5044
34	1.0	0	0.3	ctc8_ctc11	5042	10000	0.0	34487.43	0	0.5042
35	0.0	0	0.3	ctc12	6290	10000	0.0	34323.61	0	0.629
36	0.0	0	0.3	ctc13_ctc14	5814	10000	1.0	34649.71	0	0.5814
37	0.0	0	0.3	ctc9_ctc12	3959	10000	1.0	35218.23	0	0.3959
38	0.0	0	0.3	ctc8_ctc14	5465	10000	1.0	34339.27	0	0.5465
39	0.0	0	0.3	ctc9	6492	10000	1.0	34710.92	0	0.6492
40	1.0	0	0.3	ctc9_ctc13	5436	10000	0.0	34719.19	0	0.5436
41	0.0	0	0.3	ctc11_ctc12	3954	10000	1.0	35016.67	0	0.3954
42	0.0	0	0.3	ctc9_ctc11	5561	10000	0.0	35256.0	0	0.5561
43	0.0	0	0.3	ctc9_ctc12	5727	10000	0.0	34891.57	0	0.5727
44	0.0	0	0.3	ctc9_ctc13	4770	10000	1.0	34880.42	0	0.477
45	1.0	0	0.3	ctc9	6463	10000	0.0	34679.25	0	0.6463
46	1.0	0	0.3	ctc12	6117	10000	0.0	34411.87	0	0.6117
47	1.0	0	0.3	ctc13	6794	10000	0.0	34345.88	0	0.6794
48	0.0	0	0.3	ctc8_ctc14	6557	10000	0.0	34409.28	0	0.6557
49	1.0	0	0.3	ctc11_ctc12	3379	10000	0.0	34807.42	0	0.3379
50	0.0	0	0.3	ctc14	8019	10000	0.0	34891.83	0	0.8019
51	0.0	0	0.3	ctc8_ctc9	4399	10000	1.0	35057.65	0	0.4399
52	0.0	0	0.3	ctc8	6767	10000	0.0	34769.32	0	0.6767
53	0.0	0	0.3	ctc9_ctc10	4420	10000	1.0	34934.87	0	0.442
54	0.0	0	0.3	ctc9_ctc14	5328	10000	1.0	34747.04	0	0.5328
55	0.0	0	0.3	ctc8_ctc12	5681	10000	0.0	34815.97	0	0.5681
56	0.0	0	0.3	ctc8_ctc11	5663	10000	0.0	35262.21	0	0.5663
57	0.0	0	0.3	ctc14	8180	10000	1.0	35159.61	0	0.818
58	0.0	0	0.3	ctc8_ctc12	4176	10000	1.0	34462.45	0	0.4176
59	0.0	0	0.3	ctc11_ctc12	3282	10000	0.0	34945.62	0	0.3282
